County,Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total,Voter_Turnout
,Total,Davis,49.98%,123176,Dirksen-Londrigan,50.02%,123299,246475,68.28%
Calhoun County,Belleville,Davis,78.00%,78,Dirksen-Londrigan,22.00%,22,100,61.49%
Calhoun County,Crater-Carlin,Davis,62.86%,198,Dirksen-Londrigan,37.14%,117,315,65.87%
Calhoun County,Hamburg,Davis,59.21%,135,Dirksen-Londrigan,40.79%,93,228,63.00%
Calhoun County,Hardin,Davis,65.94%,364,Dirksen-Londrigan,34.06%,188,552,65.91%
Calhoun County,Gilead,Davis,71.62%,106,Dirksen-Londrigan,28.38%,42,148,62.86%
Calhoun County,Richwoods,Davis,61.56%,245,Dirksen-Londrigan,38.44%,153,398,72.03%
Calhoun County,Point,Davis,62.09%,321,Dirksen-Londrigan,37.91%,196,517,68.58%
Christian County,ASSUMPTION,Davis,73.67%,375,Dirksen Londrigan,26.33%,134,509,62.09%
Christian County,BEAR CREEK,Davis,69.40%,161,Dirksen Londrigan,30.60%,71,232,67.34%
Christian County,BUCKHART,Davis,74.22%,593,Dirksen Londrigan,25.78%,206,799,65.77%
Christian County,GREENWOOD,Davis,90.63%,87,Dirksen Londrigan,9.38%,9,96,68.57%
Christian County,JOHNSON,Davis,82.87%,329,Dirksen Londrigan,17.13%,68,397,72.60%
Christian County,KING,Davis,85.42%,82,Dirksen Londrigan,14.58%,14,96,67.13%
Christian County,LOCUST,Davis,76.00%,228,Dirksen Londrigan,24.00%,72,300,68.78%
Christian County,MAY,Davis,78.54%,710,Dirksen Londrigan,21.46%,194,904,71.95%
Christian County,MOSQUITO,Davis,81.56%,146,Dirksen Londrigan,18.44%,33,179,66.05%
Christian County,MT. AUBURN,Davis,79.58%,343,Dirksen Londrigan,20.42%,88,431,66.72%
Christian County,PANA #1,Davis,71.31%,256,Dirksen Londrigan,28.69%,103,359,58.13%
Christian County,PANA #2,Davis,70.68%,552,Dirksen Londrigan,29.32%,229,781,59.68%
Christian County,PANA #3,Davis,68.62%,293,Dirksen Londrigan,31.38%,134,427,59.29%
Christian County,PANA #4,Davis,68.39%,212,Dirksen Londrigan,31.61%,98,310,49.84%
Christian County,PANA #5,Davis,66.27%,165,Dirksen Londrigan,33.73%,84,249,48.66%
Christian County,PRAIRIETON,Davis,78.18%,172,Dirksen Londrigan,21.82%,48,220,70.74%
Christian County,RICKS,Davis,79.64%,399,Dirksen Londrigan,20.36%,102,501,62.02%
Christian County,ROSAMOND,Davis,84.25%,123,Dirksen Londrigan,15.75%,23,146,63.91%
Christian County,SOUTH FORK #1,Davis,63.76%,285,Dirksen Londrigan,36.24%,162,447,56.02%
Christian County,SOUTH FORK #2,Davis,71.99%,203,Dirksen Londrigan,28.01%,79,282,63.62%
Christian County,SOUTH FORK #3,Davis,72.94%,186,Dirksen Londrigan,27.06%,69,255,58.68%
Christian County,STONINGTON,Davis,73.95%,335,Dirksen Londrigan,26.05%,118,453,64.80%
Christian County,TAYLORVILLE #1,Davis,72.28%,352,Dirksen Londrigan,27.72%,135,487,55.49%
Christian County,TAYLORVILLE #2,Davis,70.65%,349,Dirksen Londrigan,29.35%,145,494,62.30%
Christian County,TAYLORVILLE #3,Davis,71.58%,393,Dirksen Londrigan,28.42%,156,549,66.39%
Christian County,TAYLORVILLE #4,Davis,69.20%,555,Dirksen Londrigan,30.80%,247,802,60.10%
Christian County,TAYLORVILLE #5,Davis,70.16%,515,Dirksen Londrigan,29.84%,219,734,57.03%
Christian County,TAYLORVILLE #6,Davis,69.72%,304,Dirksen Londrigan,30.28%,132,436,53.02%
Christian County,TAYLORVILLE #7,Davis,69.32%,314,Dirksen Londrigan,30.68%,139,453,55.65%
Christian County,TAYLORVILLE #8,Davis,73.60%,435,Dirksen Londrigan,26.40%,156,591,61.92%
Champaign County,Champaign 1,Davis,36.07%,44,Dirksen-Londrigan,63.93%,78,122,60.29%
Champaign County,Champaign 2,Davis,50.86%,624,Dirksen-Londrigan,49.14%,603,1227,73.11%
Champaign County,Champaign 3,Davis,53.28%,723,Dirksen-Londrigan,46.72%,634,1357,75.81%
Champaign County,Champaign 4,Davis,37.98%,621,Dirksen-Londrigan,62.02%,1014,1635,68.01%
Champaign County,Champaign 5,Davis,46.36%,592,Dirksen-Londrigan,53.64%,685,1277,72.60%
Champaign County,Champaign 6,Davis,39.81%,504,Dirksen-Londrigan,60.19%,762,1266,72.80%
Champaign County,City of Champaign 1,Davis,6.29%,33,Dirksen-Londrigan,93.71%,492,525,46.26%
Champaign County,City of Champaign 2,Davis,8.98%,53,Dirksen-Londrigan,91.02%,537,590,75.03%
Champaign County,City of Champaign 3,Davis,16.65%,186,Dirksen-Londrigan,83.35%,931,1117,81.63%
Champaign County,City of Champaign 4,Davis,26.04%,232,Dirksen-Londrigan,73.96%,659,891,65.28%
Champaign County,City of Champaign 5,Davis,15.24%,223,Dirksen-Londrigan,84.76%,1240,1463,84.95%
Champaign County,City of Champaign 6,Davis,22.30%,211,Dirksen-Londrigan,77.70%,735,946,42.71%
Champaign County,City of Champaign 7,Davis,14.17%,174,Dirksen-Londrigan,85.83%,1054,1228,74.16%
Champaign County,City of Champaign 8,Davis,18.79%,214,Dirksen-Londrigan,81.21%,925,1139,71.95%
Champaign County,City of Champaign 9,Davis,17.88%,103,Dirksen-Londrigan,82.12%,473,576,38.93%
Champaign County,City of Champaign 10,Davis,21.11%,95,Dirksen-Londrigan,78.89%,355,450,48.57%
Champaign County,City of Champaign 11,Davis,14.86%,147,Dirksen-Londrigan,85.14%,842,989,62.27%
Champaign County,City of Champaign 12,Davis,17.46%,146,Dirksen-Londrigan,82.54%,690,836,60.34%
Champaign County,City of Champaign 13,Davis,15.70%,141,Dirksen-Londrigan,84.30%,757,898,69.82%
Champaign County,City of Champaign 14,Davis,20.82%,71,Dirksen-Londrigan,79.18%,270,341,62.30%
Champaign County,City of Champaign 15,Davis,26.43%,157,Dirksen-Londrigan,73.57%,437,594,60.16%
