Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total_Vote,Voter_Turnout
ASSUMPTION,Davis,73.67%,375,Dirksen Londrigan,26.33%,134,509,62.09%
BEAR CREEK,Davis,69.40%,161,Dirksen Londrigan,30.60%,71,232,67.34%
BUCKHART,Davis,74.22%,593,Dirksen Londrigan,25.78%,206,799,65.77%
GREENWOOD,Davis,90.63%,87,Dirksen Londrigan,9.38%,9,96,68.57%
JOHNSON,Davis,82.87%,329,Dirksen Londrigan,17.13%,68,397,72.60%
KING,Davis,85.42%,82,Dirksen Londrigan,14.58%,14,96,67.13%
LOCUST,Davis,76.00%,228,Dirksen Londrigan,24.00%,72,300,68.78%
MAY,Davis,78.54%,710,Dirksen Londrigan,21.46%,194,904,71.95%
MOSQUITO,Davis,81.56%,146,Dirksen Londrigan,18.44%,33,179,66.05%
MT. AUBURN,Davis,79.58%,343,Dirksen Londrigan,20.42%,88,431,66.72%
PANA #1,Davis,71.31%,256,Dirksen Londrigan,28.69%,103,359,58.13%
PANA #2,Davis,70.68%,552,Dirksen Londrigan,29.32%,229,781,59.68%
PANA #3,Davis,68.62%,293,Dirksen Londrigan,31.38%,134,427,59.29%
PANA #4,Davis,68.39%,212,Dirksen Londrigan,31.61%,98,310,49.84%
PANA #5,Davis,66.27%,165,Dirksen Londrigan,33.73%,84,249,48.66%
PRAIRIETON,Davis,78.18%,172,Dirksen Londrigan,21.82%,48,220,70.74%
RICKS,Davis,79.64%,399,Dirksen Londrigan,20.36%,102,501,62.02%
ROSAMOND,Davis,84.25%,123,Dirksen Londrigan,15.75%,23,146,63.91%
SOUTH FORK #1,Davis,63.76%,285,Dirksen Londrigan,36.24%,162,447,56.02%
SOUTH FORK #2,Davis,71.99%,203,Dirksen Londrigan,28.01%,79,282,63.62%
SOUTH FORK #3,Davis,72.94%,186,Dirksen Londrigan,27.06%,69,255,58.68%
STONINGTON,Davis,73.95%,335,Dirksen Londrigan,26.05%,118,453,64.80%
TAYLORVILLE #1,Davis,72.28%,352,Dirksen Londrigan,27.72%,135,487,55.49%
TAYLORVILLE #2,Davis,70.65%,349,Dirksen Londrigan,29.35%,145,494,62.30%
TAYLORVILLE #3,Davis,71.58%,393,Dirksen Londrigan,28.42%,156,549,66.39%
TAYLORVILLE #4,Davis,69.20%,555,Dirksen Londrigan,30.80%,247,802,60.10%
TAYLORVILLE #5,Davis,70.16%,515,Dirksen Londrigan,29.84%,219,734,57.03%
TAYLORVILLE #6,Davis,69.72%,304,Dirksen Londrigan,30.28%,132,436,53.02%
TAYLORVILLE #7,Davis,69.32%,314,Dirksen Londrigan,30.68%,139,453,55.65%
TAYLORVILLE #8,Davis,73.60%,435,Dirksen Londrigan,26.40%,156,591,61.92%
Total,Davis,73.16%,9452,Dirksen Londrigan,26.84%,3467,12919,62.14%
