Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total_Vote,Voter_Turnout
BARNETT,Davis,75.69%,137,Dirksen Londrigan,24.31%,44,181,60.46%
CLINTONIA 1,Davis,65.36%,117,Dirksen Londrigan,34.64%,62,179,40.54%
CLINTONIA 2,Davis,58.65%,78,Dirksen Londrigan,41.35%,55,133,46.44%
CLINTONIA 3,Davis,62.72%,175,Dirksen Londrigan,37.28%,104,279,59.09%
CLINTONIA 4,Davis,72.99%,273,Dirksen Londrigan,27.01%,101,374,57.08%
CLINTONIA 5,Davis,68.93%,417,Dirksen Londrigan,31.07%,188,605,60.50%
CLINTONIA 6,Davis,61.62%,183,Dirksen Londrigan,38.38%,114,297,59.41%
CLINTONIA 7,Davis,68.98%,189,Dirksen Londrigan,31.02%,85,274,49.28%
CLINTONIA 8,Davis,67.20%,125,Dirksen Londrigan,32.80%,61,186,46.59%
CLINTONIA 9,Davis,59.09%,104,Dirksen Londrigan,40.91%,72,176,38.19%
CREEK,Davis,81.97%,191,Dirksen Londrigan,18.03%,42,233,63.59%
DEWITT,Davis,72.36%,144,Dirksen Londrigan,27.64%,55,199,61.59%
HARP,Davis,71.52%,118,Dirksen Londrigan,28.48%,47,165,63.53%
NIXON,Davis,71.29%,149,Dirksen Londrigan,28.71%,60,209,61.81%
RUTLEDGE,Davis,70.13%,54,Dirksen Londrigan,29.87%,23,77,63.93%
SANTA ANNA 1,Davis,73.28%,266,Dirksen Londrigan,26.72%,97,363,54.65%
SANTA ANNA 2,Davis,70.60%,305,Dirksen Londrigan,29.40%,127,432,55.73%
SANTA ANNA 3,Davis,65.69%,90,Dirksen Londrigan,34.31%,47,137,59.23%
TEXAS,Davis,70.46%,427,Dirksen Londrigan,29.54%,179,606,63.50%
TUNBRIDGE,Davis,82.99%,283,Dirksen Londrigan,17.01%,58,341,60.64%
WAPELLA,Davis,72.22%,286,Dirksen Londrigan,27.78%,110,396,57.22%
WAYNESVILLE,Davis,77.94%,212,Dirksen Londrigan,22.06%,60,272,63.07%
WILSON,Davis,68.35%,54,Dirksen Londrigan,31.65%,25,79,69.91%
Total,Davis,70.68%,4377,Dirksen Londrigan,29.32%,1816,6193,57.22%
