Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total_Vote,Voter_Turnout
Total,Davis,67.99%,5917,Dirksen-Londrigan,32.01%,2786,8703,57.29%
Elsah 1,Davis,53.22%,215,Dirksen-Londrigan,46.78%,189,404,53.63%
Elsah 2,Davis,64.40%,293,Dirksen-Londrigan,35.60%,162,455,58.61%
English,Davis,66.11%,158,Dirksen-Londrigan,33.89%,81,239,64.66%
Fidelity,Davis,72.73%,184,Dirksen-Londrigan,27.27%,69,253,53.72%
Jersey 1,Davis,66.75%,263,Dirksen-Londrigan,33.25%,131,394,57.16%
Jersey 2,Davis,68.98%,298,Dirksen-Londrigan,31.02%,134,432,56.53%
Jersey 3,Davis,70.98%,318,Dirksen-Londrigan,29.02%,130,448,60.42%
Jersey 4,Davis,66.10%,232,Dirksen-Londrigan,33.90%,119,351,60.92%
Jersey 5,Davis,70.13%,371,Dirksen-Londrigan,29.87%,158,529,51.03%
Jersey 6,Davis,61.68%,132,Dirksen-Londrigan,38.32%,82,214,43.76%
Jersey 7,Davis,75.34%,223,Dirksen-Londrigan,24.66%,73,296,54.23%
Jersey 8,Davis,57.65%,98,Dirksen-Londrigan,42.35%,72,170,61.84%
Jersey 9,Davis,63.13%,101,Dirksen-Londrigan,36.88%,59,160,45.15%
Jersey 10,Davis,69.25%,473,Dirksen-Londrigan,30.75%,210,683,59.64%
Mississippi 1,Davis,72.14%,347,Dirksen-Londrigan,27.86%,134,481,53.33%
Mississippi 2,Davis,63.31%,195,Dirksen-Londrigan,36.69%,113,308,59.02%
Otter Creek,Davis,73.66%,302,Dirksen-Londrigan,26.34%,108,410,60.26%
Piasa 1,Davis,71.92%,479,Dirksen-Londrigan,28.08%,187,666,57.29%
Piasa 2,Davis,65.85%,268,Dirksen-Londrigan,34.15%,139,407,56.29%
Piasa 3,Davis,64.04%,146,Dirksen-Londrigan,35.96%,82,228,61.54%
Quarry 1,Davis,67.22%,281,Dirksen-Londrigan,32.78%,137,418,66.00%
Quarry 2,Davis,65.08%,82,Dirksen-Londrigan,34.92%,44,126,66.84%
Richwood,Davis,73.68%,182,Dirksen-Londrigan,26.32%,65,247,58.61%
Rosedale,Davis,66.84%,129,Dirksen-Londrigan,33.16%,64,193,58.70%
Ruyle,Davis,76.96%,147,Dirksen-Londrigan,23.04%,44,191,69.75%
