Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total_Vote,Voter_Turnout
BLOOMINGTON 01,Davis,58.1%,143,Dirksen Londrigan,41.9%,103,246,54.89%
BLOOMINGTON 02,Davis,50.9%,27,Dirksen Londrigan,49.1%,26,53,58.96%
DALE 01,Davis,68.5%,440,Dirksen Londrigan,31.5%,202,642,62.00%
FUNKS GROVE 01,Davis,70.8%,92,Dirksen Londrigan,29.2%,38,130,64.08%
NORMAL 01,Davis,30.8%,33,Dirksen Londrigan,69.2%,74,107,54.53%
NORMAL 02,Davis,25.6%,247,Dirksen Londrigan,74.4%,716,963,63.10%
NORMAL 03,Davis,40.0%,2,Dirksen Londrigan,60.0%,3,5,62.86%
NORMAL 07,Davis,22.2%,4,Dirksen Londrigan,77.8%,14,18,63.70%
NORMAL 08,Davis,20.0%,198,Dirksen Londrigan,80.0%,792,990,69.63%
NORMAL 09,Davis,30.4%,168,Dirksen Londrigan,69.6%,385,553,53.37%
NORMAL 10,Davis,39.7%,198,Dirksen Londrigan,60.3%,301,499,57.97%
NORMAL 11,Davis,39.8%,212,Dirksen Londrigan,60.2%,321,533,52.70%
NORMAL 14,Davis,29.4%,274,Dirksen Londrigan,70.6%,659,933,68.38%
NORMAL 21,Davis,42.2%,208,Dirksen Londrigan,57.8%,285,493,58.52%
NORMAL 22,Davis,37.2%,199,Dirksen Londrigan,62.8%,336,535,65.10%
NORMAL 23,Davis,36.6%,181,Dirksen Londrigan,63.4%,314,495,57.99%
NORMAL 24,Davis,21.3%,61,Dirksen Londrigan,78.7%,225,286,49.48%
NORMAL 29,Davis,21.9%,133,Dirksen Londrigan,78.1%,474,607,55.32%
NORMAL 30,Davis,16.2%,36,Dirksen Londrigan,83.8%,186,222,59.69%
RANDOLPH 01,Davis,68.0%,420,Dirksen Londrigan,32.0%,198,618,59.07%
RANDOLPH 03,Davis,48.9%,22,Dirksen Londrigan,51.1%,23,45,66.22%
Total,Davis,36.8%,3298,Dirksen Londrigan,63.2%,5675,8973,59.88%
