Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total_Vote,Voter_Turnout
Total,Davis,65.25%,7438,Dirksen-Londrigan,34.75%,3961,11399,71.41%
Audubon,Davis,78.06%,185,Dirksen-Londrigan,21.94%,52,237,72.67%
Bois D'arc,Davis,66.50%,274,Dirksen-Londrigan,33.50%,138,412,70.07%
Butler Grove,Davis,65.08%,259,Dirksen-Londrigan,34.92%,139,398,78.85%
East Fork 1,Davis,59.72%,255,Dirksen-Londrigan,40.28%,172,427,72.43%
East Fork 2,Davis,62.03%,49,Dirksen-Londrigan,37.97%,30,79,67.77%
East Fork 3,Davis,56.86%,232,Dirksen-Londrigan,43.14%,176,408,76.64%
Fillmore Consolidated,Davis,66.67%,270,Dirksen-Londrigan,33.33%,135,405,75.31%
Grisham 1,Davis,48.75%,78,Dirksen-Londrigan,51.25%,82,160,74.65%
Grisham 2,Davis,65.71%,69,Dirksen-Londrigan,34.29%,36,105,61.45%
Harvel,Davis,60.00%,63,Dirksen-Londrigan,40.00%,42,105,80.30%
Hillsboro 1,Davis,59.26%,192,Dirksen-Londrigan,40.74%,132,324,73.32%
Hillsboro 2,Davis,64.66%,183,Dirksen-Londrigan,35.34%,100,283,78.86%
Hillsboro 3,Davis,65.97%,316,Dirksen-Londrigan,34.03%,163,479,74.47%
Hillsboro 4,Davis,64.56%,133,Dirksen-Londrigan,35.44%,73,206,63.45%
Hillsboro 5,Davis,60.49%,297,Dirksen-Londrigan,39.51%,194,491,75.33%
Hillsboro 6,Davis,52.85%,250,Dirksen-Londrigan,47.15%,223,473,74.69%
Irving,Davis,67.38%,285,Dirksen-Londrigan,32.62%,138,423,74.61%
Nokomis 1,Davis,69.29%,97,Dirksen-Londrigan,30.71%,43,140,72.82%
Nokomis 2,Davis,73.20%,284,Dirksen-Londrigan,26.80%,104,388,70.69%
Nokomis 3,Davis,66.91%,184,Dirksen-Londrigan,33.09%,91,275,69.48%
Nokomis 4,Davis,68.93%,213,Dirksen-Londrigan,31.07%,96,309,69.69%
North Litchfield 1,Davis,72.23%,346,Dirksen-Londrigan,27.77%,133,479,77.01%
North Litchfield 2,Davis,63.96%,236,Dirksen-Londrigan,36.04%,133,369,68.68%
North Litchfield 3,Davis,61.67%,185,Dirksen-Londrigan,38.33%,115,300,75.43%
North Litchfield 4,Davis,63.32%,145,Dirksen-Londrigan,36.68%,84,229,64.92%
North Litchfield 5,Davis,60.81%,135,Dirksen-Londrigan,39.19%,87,222,66.09%
North Litchfield 6,Davis,69.92%,351,Dirksen-Londrigan,30.08%,151,502,70.61%
Pitman,Davis,70.17%,127,Dirksen-Londrigan,29.83%,54,181,73.54%
Raymond,Davis,74.61%,426,Dirksen-Londrigan,25.39%,145,571,74.52%
Rountree,Davis,79.34%,96,Dirksen-Londrigan,20.66%,25,121,80.26%
South Litchfield 1,Davis,61.06%,196,Dirksen-Londrigan,38.94%,125,321,67.77%
South Litchfield 2,Davis,54.32%,201,Dirksen-Londrigan,45.68%,169,370,59.34%
South Litchfield 3,Davis,64.24%,97,Dirksen-Londrigan,35.76%,54,151,55.00%
South Litchfield 4,Davis,61.48%,166,Dirksen-Londrigan,38.52%,104,270,68.38%
Walshville,Davis,61.42%,78,Dirksen-Londrigan,38.58%,49,127,64.02%
Witt 1,Davis,75.84%,204,Dirksen-Londrigan,24.16%,65,269,77.22%
Witt 2,Davis,58.68%,98,Dirksen-Londrigan,41.32%,69,167,65.93%
Zanesville,Davis,82.06%,183,Dirksen-Londrigan,17.94%,40,223,77.24%
